t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
41,12,product12,36696.0,54,0.0,0.0
41,13,product13,44.0,28,0.0,0.0
41,14,product14,75369.0,55,0.0,0.0
41,15,product15,0.0,16,41.0,0.0
41,16,product16,288.0,10,0.0,0.0
41,17,product17,0.0,26,38.0,0.0
41,18,product18,3605.0,68,0.0,0.0
41,19,product19,1128.0,24,0.0,0.0
41,20,product20,7072.0,60,0.0,0.0
41,21,product21,12563.0,49,0.0,0.0
41,22,product22,1496.0,38,0.0,0.0
41,23,product23,3990.0,57,0.0,0.0
41,24,product24,2559.0,167,0.0,0.0
41,25,product25,1308.0,123,0.0,0.0
41,26,product26,300.0,87,0.0,0.0
41,27,product27,372.0,41,0.0,0.0
41,28,product28,1799.0,149,0.0,0.0
41,29,product29,325.0,34,0.0,0.0
41,30,product30,374.0,18,0.0,0.0
41,31,product31,125.0,30,0.0,0.0
41,32,product32,420.0,229,0.0,0.0
41,33,product33,132.0,85,0.0,0.0
41,34,product34,156.0,120,0.0,0.0
41,35,product35,0.0,77,144.0,0.0
41,36,product36,0.0,151,347.0,0.0
41,37,product37,0.0,216,0.0,0.0
41,38,product38,0.0,22,0.0,0.0
41,39,product39,0.0,74,0.0,0.0
41,40,product40,36.0,221,0.0,0.0
41,41,product41,288.0,118,0.0,0.0
41,42,product42,602.0,203,0.0,0.0
41,43,product43,51.0,94,0.0,0.0
41,44,product44,65.0,152,0.0,0.0
41,45,product45,0.0,198,570.0,0.0
41,46,product46,0.0,108,167.0,0.0
41,47,product47,0.0,138,230.0,0.0
41,48,product48,0.0,141,383.0,0.0
41,49,product49,0.0,266,415.0,0.0
42,0,product0,198771.0,24,0.0,0.000163
42,1,product1,302806.0,15,0.0,0.000965
42,2,product2,432196.0,21,0.0,0.000613
42,3,product3,149581.0,19,0.0,0.000763
42,4,product4,55888.0,7,0.0,0.669365
42,5,product5,14426.0,36,0.0,0.0
42,6,product6,1068.0,7,0.0,0.0
42,7,product7,43273.0,42,0.0,0.0
42,8,product8,8.0,3,0.0,0.0
42,9,product9,1868.0,19,0.0,0.0
42,10,product10,600.0,12,0.0,0.0
42,11,product11,21110.0,60,0.0,0.0
42,12,product12,40920.0,50,0.0,0.0
42,13,product13,38.0,24,0.0,0.0
42,14,product14,90592.0,57,0.0,0.0
42,15,product15,0.0,22,42.0,0.0
42,16,product16,2704.0,9,0.0,0.0
42,17,product17,0.0,26,34.0,0.0
42,18,product18,2864.0,67,0.0,0.0
42,19,product19,208.0,24,0.0,0.0
42,20,product20,7432.0,63,0.0,0.0
42,21,product21,4970.0,49,0.0,0.0
42,22,product22,332.0,37,0.0,0.0
42,23,product23,3534.0,56,0.0,0.0
42,24,product24,2164.0,176,0.0,0.0
42,25,product25,705.0,102,0.0,0.0
42,26,product26,286.0,59,0.0,0.0
42,27,product27,250.0,39,0.0,0.0
42,28,product28,360.0,152,0.0,0.0
